movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genreNm,directors
20183650,번개맨의 비밀,,,전체관람가,20181206,68,가족,
20183288,헌터 킬러,HUNTER KILLER,,15세이상관람가,20181206,121,액션,Donovan Marsh
20181905,후드,Robin Hood,,12세이상관람가,20181128,116,어드벤처,Otto Bathurst
20176814,신비한 동물들과 그린델왈드의 범죄,Fantastic Beasts: The Crimes of Grindelwald,FANTASTIC BEASTS THE CRIMES OF GRINDELWALD,12세이상관람가,20181114,133,판타지,David Yates
20182966,투 프렌즈,TWO TAILS,,전체관람가,20181129,74,애니메이션,Victor Azeev
20183073,베일리 어게인,A Dog's Purpose,,전체관람가,20181122,100,어드벤처,Lasse Hallstrom
20183007,거미줄에 걸린 소녀,THE GIRL IN THE SPIDER’S WEB,,15세이상관람가,20181128,115,액션,Fede Alvarez
20181171,바울,"Paul, Apostle Of Christ",,15세이상관람가,20181031,107,드라마,Andrew Hyatt
20183050,번 더 스테이지: 더 무비,Burn the Stage: the Movie,,전체관람가,20181115,82,기타,
20183043,캡틴 샤키,Capt'n sharky,,전체관람가,20181122,77,애니메이션,Hubert Weiland
20182935,출국,Unfinished,,15세이상관람가,20181114,104,드라마,NO Gyu-yeop
20182669,툴리,TULLY,,15세이상관람가,20181122,95,드라마,Jason Reitman
20170513,동네사람들,Ordinary People,,15세이상관람가,20181107,99,액션,LIM Jin-sun
20186822,너의 췌장을 먹고 싶어,I want to eat your pancreas,君の膵臓をたべたい,12세이상관람가,20181115,109,애니메이션,Shinichiro Ushijima
20183009,로빈슨의 언더워터 어드벤처,The Underwater Adventures of Sadko,,전체관람가,20181115,73,애니메이션,Maxim Volkov
20179006,여곡성,The Wrath,,15세이상관람가,20181108,94,공포(호러),YOO Young-sun
20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,전체관람가,20011213,152,가족,Chris Columbus
20174981,창궐,Rampant,,15세이상관람가,20181025,121,사극,KIM Sung-hoon
20181404,벽 속에 숨은 마법시계,The house with a clock in its walls,,전체관람가,20181031,105,판타지,Eli Roth
20183063,박물관이 진짜 살아있다,Harvie and the Magic Museum,Hurvinek a kouzelne muzeum,전체관람가,20181108,86,애니메이션,Martin Kotik
20182693,구스범스: 몬스터의 역습,Goosebumps 2: Haunted Halloween,,12세이상관람가,20181107,89,판타지,Ari Sandel
20180987,할로윈,Halloween,,청소년관람불가,20181031,105,공포(호러),David Gordon Green
20180523,스타 이즈 본,A Star Is Born,,15세이상관람가,20181009,135,드라마,Bradley Cooper
20189067,미쓰백,Miss Baek,,15세이상관람가,20181011,97,드라마,LEE Ji-won
20179189,암수살인,Dark Figure of Crime,暗數殺人,15세이상관람가,20181003,109,범죄,KIM Tae-gyun
20177221,베놈,Venom,,15세이상관람가,20181003,107,액션,Ruben Fleischer
20186321,퍼스트맨,First Man,,12세이상관람가,20181018,141,SF,Damien Chazelle
20182403,크레이지 리치 아시안,Crazy Rich Asians,,12세이상관람가,20181025,120,멜로/로맨스,Jon Chu
20181669,윌리,Wheely,,전체관람가,20181025,89,애니메이션,Carl Mendez
20189123,곰돌이 푸 다시 만나 행복해,Christopher Robin,,전체관람가,20181003,103,어드벤처,Marc Forster
20176122,안시성,The Great Battle,安市城,12세이상관람가,20180919,135,사극,KIM Kwang-sik
20184678,배반의 장미,Too Hot to Die,,15세이상관람가,20181018,98,코미디,PARK Jin-young
20187521,펭귄 하이웨이,Penguin Highway,ペンギン・ハイウェイ,전체관람가,20181018,117,애니메이션,Hiroyasu Ishida
20180628,액슬,A-X-L,,12세이상관람가,20181018,98,액션,Oliver Daly
20180770,다이노 어드벤처2: 육해공 공룡 대백과,Planet Dinosaur,,전체관람가,20181009,71,애니메이션,Mike Devlin
20181262,노크: 초대받지 않은 손님,Strangers: Prey at Night,,15세이상관람가,20181011,85,공포(호러),Johannes Roberts
20188661,에브리데이,EVERY DAY,,12세이상관람가,20181011,97,멜로/로맨스,Michael Sucsy
20180624,킨: 더 비기닝,Kin,,15세이상관람가,20181011,102,미스터리,Jonathan Baker
20177308,협상,THE NEGOTIATION,,15세이상관람가,20180919,114,범죄,LEE Jong-seok
20189462,셜록 놈즈,Sherlock Gnomes,,전체관람가,20181003,86,애니메이션,John Stevenson
